13/02/2018 10:06:47 pm - IMG CRON - Image: 485, Task: 1, Done
13/02/2018 10:06:51 pm - IMG CRON - Image: 466, Task: 2, Done
13/02/2018 10:06:56 pm - IMG CRON - Image: 464, Task: 3, Done
13/02/2018 10:06:59 pm - IMG CRON - Image: 463, Task: 4, Done
13/02/2018 10:12:49 pm - IMG CRON - Image: 14, Task: 100, Done
13/02/2018 10:12:57 pm - IMG CRON - Image: 8, Task: 101, Done
13/02/2018 10:13:06 pm - IMG CRON - Image: 93, Task: 80, Done
13/02/2018 10:13:09 pm - IMG CRON - Image: 92, Task: 81, Done
13/02/2018 10:17:19 pm - IMG CRON - Image: 91, Task: 82, Done
13/02/2018 10:17:19 pm - IMG CRON - Image: 61, Task: 83, Done
13/02/2018 10:17:21 pm - IMG CRON - Image: 59, Task: 84, Done
13/02/2018 10:17:22 pm - IMG CRON - Image: 60, Task: 85, Done
13/02/2018 10:21:26 pm - IMG CRON - Image: 58, Task: 86, Done
13/02/2018 10:21:26 pm - IMG CRON - Image: 56, Task: 87, Done
13/02/2018 10:21:27 pm - IMG CRON - Image: 57, Task: 88, Done
13/02/2018 10:21:30 pm - IMG CRON - Image: 49, Task: 89, Done
13/02/2018 10:27:00 pm - IMG CRON - Image: 47, Task: 90, Done
13/02/2018 10:27:03 pm - IMG CRON - Image: 45, Task: 91, Done
13/02/2018 10:27:06 pm - IMG CRON - Image: 43, Task: 92, Done
13/02/2018 10:27:09 pm - IMG CRON - Image: 41, Task: 93, Done
13/02/2018 10:32:59 pm - IMG CRON - Image: 39, Task: 94, Done
13/02/2018 10:33:02 pm - IMG CRON - Image: 37, Task: 95, Done
13/02/2018 10:33:04 pm - IMG CRON - Image: 34, Task: 96, Done
13/02/2018 10:33:08 pm - IMG CRON - Image: 23, Task: 97, Done
13/02/2018 10:43:13 pm - IMG CRON - Image: 20, Task: 98, Done
13/02/2018 10:43:17 pm - IMG CRON - Image: 17, Task: 99, Done
13/02/2018 10:43:18 pm - IMG CRON - Image: 131, Task: 60, Done
13/02/2018 10:43:22 pm - IMG CRON - Image: 129, Task: 61, Done
13/02/2018 10:48:50 pm - IMG CRON - Image: 128, Task: 62, Done
13/02/2018 10:48:53 pm - IMG CRON - Image: 126, Task: 63, Done
13/02/2018 10:48:56 pm - IMG CRON - Image: 125, Task: 64, Done
13/02/2018 10:49:00 pm - IMG CRON - Image: 124, Task: 65, Done
13/02/2018 11:14:31 pm - IMG CRON - Image: 122, Task: 66, Done
13/02/2018 11:14:35 pm - IMG CRON - Image: 121, Task: 67, Done
13/02/2018 11:14:58 pm - IMG CRON - Image: 119, Task: 68, Done
13/02/2018 11:16:44 pm - IMG CRON - Image: 118, Task: 69, Done
13/02/2018 11:16:49 pm - IMG CRON - Image: 117, Task: 70, Done
13/02/2018 11:16:52 pm - IMG CRON - Image: 116, Task: 71, Done
13/02/2018 11:16:55 pm - IMG CRON - Image: 110, Task: 72, Done
13/02/2018 11:28:48 pm - IMG CRON - Image: 100, Task: 73, Done
